Time(min) Ns(cm-3) Rs(ohm/sq) Xj(um) 
0.01 3.9468e+020 45.1345 0.0891112 
0.0113586 3.93977e+020 45.1283 0.0891179 
0.0129018 3.93184e+020 45.1213 0.0891256 
0.0146546 3.9229e+020 45.1134 0.0891343 
0.0166456 3.91283e+020 45.1045 0.0891441 
0.0189071 3.90151e+020 45.0944 0.0891554 
0.0214758 3.8888e+020 45.0831 0.0891681 
0.0243935 3.87456e+020 45.0704 0.0891826 
0.0277076 3.85862e+020 45.0561 0.0891991 
0.031472 3.84081e+020 45.0401 0.0892178 
0.0357478 3.82098e+020 45.0222 0.0892391 
0.0406045 3.79894e+020 45.0022 0.0892633 
0.046121 3.77452e+020 44.98 0.0892908 
0.052387 3.74756e+020 44.9554 0.0893221 
0.0595043 3.71791e+020 44.9282 0.0893577 
0.0675886 3.68545e+020 44.8984 0.0893982 
0.0767712 3.65009e+020 44.8658 0.0894443 
0.0872013 3.6118e+020 44.8304 0.0894967 
0.0990485 3.57061e+020 44.7924 0.0895563 
0.112505 3.52663e+020 44.752 0.0896242 
0.12779 3.48008e+020 44.7097 0.0897016 
0.145152 3.43128e+020 44.6662 0.0897897 
0.164872 3.38066e+020 44.6227 0.0898901 
0.187272 3.32877e+020 44.5809 0.0900046 
0.212715 3.27624e+020 44.5432 0.0901352 
0.241614 3.22375e+020 44.5126 0.0902841 
0.27444 3.18468e+020 44.4937 0.0904542 
0.311725 3.14779e+020 44.4911 0.0906484 
0.354076 3.10834e+020 44.501 0.0908703 
0.402181 3.06658e+020 44.5216 0.0911241 
0.456821 3.02257e+020 44.554 0.0914145 
0.518885 2.97626e+020 44.5996 0.0917472 
0.589381 2.92761e+020 44.6603 0.0921287 
0.669454 2.87655e+020 44.7383 0.0925666 
0.760406 2.823e+020 44.8354 0.0930699 
0.863715 2.76688e+020 44.9532 0.0936488 
0.981059 2.70813e+020 45.0923 0.0943152 
1.11435 2.6467e+020 45.2518 0.0950831 
1.26575 2.58254e+020 45.388 0.0959718 
1.43771 2.52431e+020 45.5937 0.0970156 
1.63304 2.46307e+020 45.821 0.0981894 
1.8549 2.39886e+020 46.0809 0.0994926 
2.10691 2.3318e+020 46.3878 0.100926 
2.39315 2.26206e+020 46.7647 0.102501 
2.71828 2.18984e+020 47.2303 0.104237 
3.08759 2.11534e+020 47.7547 0.106151 
3.50707 2.03871e+020 48.2646 0.108258 
3.98354 1.96457e+020 48.8439 0.110544 
4.52474 1.89323e+020 49.4959 0.112991 
5.13947 1.82018e+020 50.2529 0.1156 
5.83772 1.74585e+020 51.1252 0.118395 
6.63083 1.67057e+020 52.0276 0.12137 
7.53169 1.59462e+020 53.0307 0.124554 
8.55495 1.52191e+020 54.149 0.127955 
9.71723 1.45384e+020 55.3481 0.13156 
11.0374 1.38577e+020 56.6547 0.135349 
12.5369 1.31804e+020 58.0701 0.13942 
14.2402 1.251e+020 59.562 0.14375 
16.1749 1.18616e+020 61.1754 0.148283 
18.3724 1.12785e+020 62.8601 0.153173 
20.8685 1.07053e+020 64.5792 0.15829 
23.7037 1.01448e+020 66.422 0.163763 
26.9241 9.59957e+019 68.2867 0.169556 
30.582 9.0714e+019 70.25 0.175696 
34.7369 8.60008e+019 72.2238 0.182216 
39.4563 8.14364e+019 74.2875 0.189128 
44.8168 7.70091e+019 76.3731 0.196419 
50.9056 7.27246e+019 78.5623 0.204267 
57.8216 6.85852e+019 80.7684 0.212387 
65.6772 6.47995e+019 83.0403 0.221101 
74.6001 6.11931e+019 85.4061 0.230396 
84.7353 5.7693e+019 87.8136 0.240049 
96.2474 5.43002e+019 90.2997 0.250325 
109.324 5.10159e+019 92.8631 0.261228 
124.177 4.80432e+019 95.5066 0.272768 
141.048 4.51496e+019 98.2279 0.28496 
160.211 4.23373e+019 101.064 0.297763 
181.977 3.96085e+019 103.966 0.311288 
206.7 3.71194e+019 106.956 0.325581 
234.782 3.47056e+019 110.04 0.340679 
266.679 3.23597e+019 113.224 0.356629 
302.91 3.01554e+019 116.484 0.373404 
344.063 2.80813e+019 119.851 0.391102 
390.807 2.60671e+019 123.319 0.409807 
443.902 2.41837e+019 126.875 0.429597 
504.211 2.24056e+019 130.505 0.450548 
572.713 2.06887e+019 134.229 0.472513 
650.522 1.91238e+019 138.02 0.495824 
738.902 1.76111e+019 141.87 0.520383 
839.289 1.62213e+019 145.773 0.546279 
953.315 1.48967e+019 149.706 0.573707 
1082.83 1.36822e+019 153.657 0.602571 
1229.94 1.25296e+019 157.606 0.633233 
1397.04 1.14808e+019 161.531 0.665412 
1586.84 1.04975e+019 165.411 0.699618 
1802.43 9.58613e+018 169.214 0.735583 
2047.31 8.7538e+018 172.92 0.773722 
2325.46 7.98195e+018 176.497 0.813952 
2641.4 7.26958e+018 179.922 0.856477 
3000.26 6.61694e+018 183.166 0.901484 
