Time(min) Ns(cm-3) Rs(ohm/sq) Xj(um) 
0.01 3.9469e+020 45.7127 0.0774392 
0.010806 3.94272e+020 45.709 0.077443 
0.011677 3.93824e+020 45.705 0.0774472 
0.0126182 3.9334e+020 45.7007 0.0774517 
0.0136352 3.92821e+020 45.6961 0.0774565 
0.0147342 3.92262e+020 45.6912 0.0774618 
0.0159218 3.91662e+020 45.6858 0.0774674 
0.0172051 3.91017e+020 45.6801 0.0774735 
0.0185918 3.90325e+020 45.6739 0.0774801 
0.0200903 3.89581e+020 45.6673 0.0774873 
0.0217096 3.88784e+020 45.6602 0.077495 
0.0234594 3.8793e+020 45.6525 0.0775033 
0.0253502 3.87015e+020 45.6443 0.0775123 
0.0273934 3.86035e+020 45.6356 0.0775221 
0.0296013 3.84987e+020 45.6261 0.0775326 
0.0319872 3.83866e+020 45.6161 0.0775439 
0.0345654 3.8267e+020 45.6053 0.0775562 
0.0373514 3.81394e+020 45.5938 0.0775695 
0.0403619 3.80034e+020 45.5815 0.0775838 
0.0436151 3.78587e+020 45.5684 0.0775993 
0.0471305 3.77047e+020 45.5545 0.0776161 
0.0509292 3.75413e+020 45.5397 0.0776342 
0.0550341 3.73681e+020 45.524 0.0776537 
0.0594698 3.71847e+020 45.5073 0.0776749 
0.0642631 3.69909e+020 45.4897 0.0776977 
0.0694427 3.67865e+020 45.4711 0.0777224 
0.0750398 3.65713e+020 45.4515 0.077749 
0.081088 3.63452e+020 45.431 0.0777778 
0.0876237 3.61083e+020 45.4096 0.0778089 
0.0946862 3.58606e+020 45.3872 0.0778426 
0.102318 3.56024e+020 45.364 0.0778789 
0.110565 3.53341e+020 45.3401 0.0779182 
0.119477 3.5056e+020 45.3156 0.0779606 
0.129107 3.47689e+020 45.2907 0.0780065 
0.139513 3.44736e+020 45.2655 0.0780561 
0.150758 3.41709e+020 45.2404 0.0781097 
0.162909 3.38621e+020 45.2157 0.0781676 
0.176039 3.35483e+020 45.1919 0.0782303 
0.190228 3.3231e+020 45.1694 0.0782981 
0.20556 3.29116e+020 45.1489 0.0783714 
0.222128 3.25917e+020 45.1312 0.0784507 
0.240032 3.22728e+020 45.1172 0.0785366 
0.259379 3.20282e+020 45.108 0.0786296 
0.280285 3.18165e+020 45.1049 0.0787305 
0.302876 3.15916e+020 45.1094 0.0788399 
0.327288 3.1357e+020 45.1203 0.0789588 
0.353667 3.11139e+020 45.136 0.079088 
0.382173 3.08624e+020 45.1569 0.0792289 
0.412976 3.06025e+020 45.1833 0.0793826 
0.446262 3.03343e+020 45.2158 0.079551 
0.482231 3.00577e+020 45.2547 0.0797358 
0.521099 2.97726e+020 45.3006 0.0799395 
0.5631 2.94787e+020 45.354 0.0801651 
0.608486 2.9176e+020 45.4156 0.0804161 
0.65753 2.88643e+020 45.486 0.0806974 
0.710527 2.85434e+020 45.5657 0.0810147 
0.767795 2.8213e+020 45.6553 0.0813758 
0.829679 2.78732e+020 45.7549 0.0817904 
0.896551 2.75237e+020 45.8646 0.0822712 
0.968813 2.71643e+020 45.9834 0.0828349 
1.0469 2.67951e+020 46.109 0.083503 
1.13128 2.64157e+020 46.2358 0.084304 
1.22246 2.60263e+020 46.3513 0.0849933 
1.32099 2.56541e+020 46.4295 0.0855743 
1.42746 2.52973e+020 46.4025 0.0861799 
1.54251 2.49291e+020 46.4025 0.086805 
1.66684 2.45498e+020 46.5048 0.0874452 
1.80119 2.41595e+020 46.6562 0.0880986 
1.94637 2.37585e+020 46.8458 0.0887682 
2.10325 2.33471e+020 47.0718 0.0894641 
2.27277 2.29258e+020 47.3343 0.0902056 
2.45596 2.24949e+020 47.65 0.0910238 
2.65391 2.2055e+020 48.0046 0.0919656 
2.86782 2.16065e+020 48.389 0.0931001 
3.09897 2.11498e+020 48.791 0.0945266 
3.34875 2.06853e+020 49.1744 0.0961696 
3.61866 2.02134e+020 49.4031 0.0973296 
3.91032 1.97627e+020 49.5361 0.0984808 
4.22549 1.9333e+020 49.8932 0.0996172 
4.56606 1.88959e+020 50.3425 0.100764 
4.93408 1.84527e+020 50.8644 0.101984 
5.33177 1.80041e+020 51.4493 0.103377 
5.76151 1.75513e+020 52.0892 0.105091 
6.22589 1.7095e+020 52.7553 0.107327 
6.7277 1.66357e+020 53.2859 0.108865 
7.26995 1.61741e+020 53.6676 0.110382 
7.85591 1.5711e+020 54.3146 0.111897 
8.4891 1.5274e+020 55.0752 0.113496 
9.17332 1.48607e+020 55.9211 0.115336 
9.91269 1.44468e+020 56.8231 0.117651 
10.7117 1.40332e+020 57.7007 0.119933 
11.5751 1.36206e+020 58.3184 0.121782 
12.5081 1.32098e+020 59.1636 0.123648 
13.5163 1.28016e+020 60.1583 0.125656 
14.6057 1.23968e+020 61.2435 0.128033 
15.7829 1.19965e+020 62.3667 0.130927 
17.055 1.16339e+020 63.3482 0.133099 
18.4296 1.12812e+020 64.2555 0.135303 
19.915 1.09322e+020 65.3901 0.137682 
21.5201 1.05875e+020 66.6195 0.140526 
23.2546 1.02477e+020 67.8839 0.143584 
25.1289 9.91344e+019 68.9618 0.146098 
27.1543 9.58518e+019 70.115 0.148736 
29.3429 9.26323e+019 71.425 0.151767 
31.7079 8.95234e+019 72.7925 0.155269 
34.2636 8.66838e+019 74.0624 0.158122 
37.0252 8.38907e+019 75.2709 0.161134 
40.0094 8.11464e+019 76.666 0.164621 
43.2342 7.84527e+019 78.1193 0.168304 
46.7189 7.58109e+019 79.4681 0.171537 
50.4844 7.32217e+019 80.849 0.175073 
54.5534 7.06855e+019 82.3765 0.179306 
58.9504 6.82026e+019 83.9205 0.182821 
63.7018 6.58833e+019 85.3443 0.186589 
68.8362 6.3666e+019 86.9323 0.191006 
74.3844 6.1487e+019 88.5891 0.195006 
80.3798 5.93466e+019 90.1482 0.199097 
86.8584 5.72451e+019 91.8249 0.203851 
93.8592 5.51827e+019 93.6016 0.208145 
101.424 5.31596e+019 95.3042 0.212643 
109.599 5.11755e+019 97.1099 0.217786 
118.433 4.93291e+019 99.0093 0.222317 
127.979 4.75428e+019 100.842 0.227345 
138.294 4.57853e+019 102.81 0.232616 
149.44 4.40573e+019 104.838 0.237653 
161.485 4.23591e+019 106.842 0.243392 
174.501 4.06914e+019 109.001 0.248634 
188.566 3.90629e+019 111.145 0.254366 
